T,error,integral,derivada,pwm
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.38,22.62,200.0,0.0,1023.0
27.31,22.69,200.0,0.08,1023.0
27.31,22.69,200.0,0.0,1023.0
27.31,22.69,200.0,0.0,1023.0
27.38,22.62,200.0,-0.08,1023.0
27.5,22.5,200.0,-0.16,1023.0
27.56,22.44,200.0,-0.08,1023.0
27.69,22.31,200.0,-0.16,1023.0
27.81,22.19,200.0,-0.16,1023.0
28.0,22.0,200.0,-0.23,1023.0
28.12,21.88,200.0,-0.16,1023.0
28.38,21.62,200.0,-0.31,1023.0
28.56,21.44,200.0,-0.23,1023.0
28.81,21.19,200.0,-0.31,1023.0
29.06,20.94,200.0,-0.31,1023.0
29.31,20.69,200.0,-0.31,1023.0
29.62,20.38,200.0,-0.39,1023.0
29.88,20.12,200.0,-0.31,1023.0
30.19,19.81,200.0,-0.39,1023.0
30.44,19.56,200.0,-0.31,1023.0
30.75,19.25,200.0,-0.39,1023.0
31.0,19.0,200.0,-0.31,1023.0
31.31,18.69,200.0,-0.39,1023.0
31.62,18.38,200.0,-0.39,1023.0
32.0,18.0,200.0,-0.47,1023.0
32.31,17.69,200.0,-0.39,1023.0
33.0,17.0,200.0,-0.47,1023.0
33.38,16.62,200.0,-0.47,1023.0
33.69,16.31,200.0,-0.39,1023.0
34.12,15.88,200.0,-0.55,1023.0
34.44,15.56,200.0,-0.39,1023.0
34.69,15.31,200.0,-0.31,1023.0
35.31,14.69,200.0,-0.39,1023.0
35.56,14.44,200.0,-0.31,1023.0
35.94,14.06,200.0,-0.47,1023.0
36.25,13.75,200.0,-0.39,1023.0
36.62,13.38,200.0,-0.47,1023.0
36.94,13.06,200.0,-0.39,1023.0
37.25,12.75,200.0,-0.39,1023.0
37.94,12.06,200.0,-0.39,1023.0
38.25,11.75,200.0,-0.39,1023.0
38.62,11.38,200.0,-0.47,1023.0
38.88,11.12,200.0,-0.31,1023.0
39.12,10.88,200.0,-0.31,1023.0
39.31,10.69,200.0,-0.23,1023.0
39.62,10.38,200.0,-0.39,1023.0
39.88,10.12,200.0,-0.31,1023.0
40.25,9.75,200.0,-0.47,1023.0
40.56,9.44,200.0,-0.39,1023.0
40.88,9.12,200.0,-0.39,1023.0
41.12,8.56,200.0,-0.31,1023.0
41.69,8.31,200.0,-0.31,1023.0
42.0,8.0,200.0,-0.39,1023.0
42.31,7.69,200.0,-0.39,1023.0
42.5,7.5,200.0,-0.23,1023.0
42.69,7.31,200.0,-0.23,1023.0
42.81,7.19,200.0,-0.16,1023.0
43.06,6.94,200.0,-0.31,1023.0
43.31,6.69,200.0,-0.31,1023.0
43.56,6.44,200.0,-0.31,1023.0
43.81,6.19,200.0,-0.31,1023.0
44.06,5.94,200.0,-0.31,1023.0
44.31,5.69,200.0,-0.31,1023.0
44.5,5.5,200.0,-0.23,1023.0
44.75,5.25,200.0,-0.31,1023.0
45.0,5.0,200.0,-0.31,1023.0
45.25,4.75,200.0,-0.31,1023.0
45.5,4.5,200.0,-0.31,1023.0
45.69,4.31,200.0,-0.23,1023.0
45.88,4.12,200.0,-0.23,1023.0
46.0,4.0,200.0,-0.16,1023.0
46.12,3.88,200.0,-0.16,1023.0
46.38,3.62,200.0,-0.31,1023.0
46.62,3.38,200.0,-0.31,1023.0
46.88,3.12,200.0,-0.31,1023.0
47.12,2.88,200.0,-0.31,1023.0
47.31,2.69,200.0,-0.23,1023.0
47.56,2.44,200.0,-0.31,1023.0
